ITEM_CAT	ITEM_ID	VALUE
10	G001IG0146	g0000:r0000:y0500:e0000:w0000:b0000
10	G001IG0147	g0000:r0500:y0000:e0000:w0000:b0000
10	G001IG0148	g0000:r0000:y0000:e0000:w0500:b0000
10	G001IG0149	g0000:r0000:y0000:e0500:w0000:b0000
10	G001IG0150	g0000:r0000:y0000:e0000:w0000:b0500
10	G001IG0151	g0000:r0500:y0500:e0500:w0500:b0500
5	G001IG0152	g0900:r0000:y0000:e0000:w0000
3	G001IG0153	g2000:r0000:y0000:e0000:w0000
3	G001IG0154	g5000:r0000:y0000:e0000:w0000
0	G001IG0155	g2200:r0000:y0000:e0000:w0000
1	G001IG0156	g3000:r0000:y0000:e0000:w0000
11	G001IG0157	g0600:r0000:y0000:e0000:w0000:b0000
0	G001IG0158	g2500:r0000:y0000:e0000:w0000
8	G001IG0159	g1000:r0000:y0000:e0000:w0000
8	G001IG0160	g1000:r0000:y0000:e0000:w0000
8	G001IG0161	g1000:r0000:y0000:e0000:w0000
8	G001IG0162	g1000:r0000:y0000:e0000:w0000
8	G001IG0163	g1000:r0000:y0000:e0000:w0000
8	G001IG0164	g2000:r0000:y0000:e0000:w0000
8	G001IG0165	g2000:r0000:y0000:e0000:w0000
8	G001IG0166	g1000:r0000:y0000:e0000:w0000
8	G001IG0167	g1000:r0000:y0000:e0000:w0000
8	G001IG0168	g1000:r0000:y0000:e0000:w0000
8	G001IG0169	g1000:r0000:y0000:e0000:w0000
8	G001IG0170	g1500:r0000:y0000:e0000:w0000
8	G001IG0171	g1800:r0000:y0000:e0000:w0000
11	G001IG0172	g2500:r0000:y0000:e0000:w0000
2	G001IG0173	g2300:r0000:y0000:e0000:w0000
2	G001IG0174	g4300:r0000:y0000:e0000:w0000
2	G001IG0175	g1500:r0000:y0000:e0000:w0000
11	G001IG0176	g0400:r0000:y0000:e0000:w0000
11	G001IG0177	g0400:r0000:y0000:e0000:w0000
11	G001IG0178	g0400:r0000:y0000:e0000:w0000
2	G001IG0179	g2750:r0000:y0000:e0000:w0000
